Feature,Mean_Absolute_SHAP
cloud,0.035620434951457856
developer,0.0254922155641485
react,0.02476471935677979
learn,0.024112711832514813
datum,0.02184552881018861
js,0.02071482486460846
model,0.01920996038713267
stack,0.017152295226215798
ai,0.014110261225744191
business,0.012778068949535927
full stack,0.0125883445029221
stack developer,0.0125883445029221
full,0.0125883445029221
machine learn,0.012339713192538656
node,0.012338255123996576
business analyst,0.010901969136267177
machine,0.010886630223424077
backend developer,0.010825448600276857
terraform,0.01080273827830181
frontend,0.010622546958307605
analysis,0.010593022414376036
scientist,0.010109475525688513
software engineer,0.010090490581394926
learn engineer,0.010030153284117644
node js,0.00997647197532937
spring,0.009925640966478006
bpmn,0.009905487928294899
ruby,0.009493336671649956
backend,0.009073235828548841
tableau,0.008599744495020038
user,0.008518136227747867
network,0.008503955834779172
go,0.008384177846774811
typescript,0.008337414621001384
boot,0.008318813160066505
spring boot,0.008316795150078025
end,0.008272918277681651
java,0.007998091923497609
security,0.007957290726815485
tensorflow,0.007956496450717275
sql,0.00781303239988331
aws,0.007722522093460243
excel,0.007688230370208107
engineer,0.007647984817696785
frontend developer,0.007551113828391561
pipeline,0.007142678456396464
pytorch,0.00702297764558544
redis,0.006973500459816435
deploy,0.006934773159031561
datum analyst,0.006581451431382175
kubernete,0.006565468570406722
mongodb,0.006548530827997165
gateway,0.006451941120407753
conduct,0.006448060771596154
serverless,0.00640562001149715
cybersecurity engineer,0.00639053465373109
cybersecurity,0.00639053465373109
django,0.006319280583122503
database,0.006297634145276957
software,0.006112894081674654
express,0.005903805278820747
devop engineer,0.005869154227447642
devop,0.005869154227447642
javascript,0.005852956494895517
time,0.005819730942139767
cloud engineer,0.00580967914979863
s3,0.005764350377674438
postgresql,0.005468063874762594
agile,0.005336843270522282
bash,0.005309807319932765
data,0.005280929577290215
process,0.005240946248784149
azure,0.005223488428448436
developer senior,0.005060030851917938
ai engineer,0.004988527462349486
use,0.0049531561731795855
utilize,0.004870827514035172
professional business,0.004800840318870617
ci,0.0047500207081917906
mlflow,0.0046202555277100495
system,0.004586591871376504
develop,0.00457568466080184
html5,0.004573300376375682
ec2,0.004517405404558478
api,0.004513324095253609
analyst senior,0.0044582318349693575
chat,0.00445329951319111
linux,0.004411683802512966
css3,0.004356608100214182
interactive,0.0043493104375649915
create,0.004302685924344554
web,0.004286226109169871
weight,0.004195430098088347
tailwindcss,0.004192108455979241
cost,0.004180976365863328
manage,0.004176418112025956
engineer senior,0.0041674916266457645
build,0.00405349393281077
ui,0.004036706150372008
high,0.003989882953222654
